Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
91	0.3933	13.4779	0.07474	10.579	11.257	11.663	11.882	12.224	12.458	12.809	13.478	14.168	14.547	14.807	15.197	15.454	15.946	16.812
92	0.3916	13.49	0.07476	10.589	11.266	11.673	11.893	12.235	12.469	12.82	13.49	14.181	14.56	14.82	15.211	15.469	15.962	16.829
93	0.39	13.502	0.07478	10.598	11.276	11.684	11.903	12.246	12.48	12.831	13.502	14.194	14.573	14.834	15.226	15.483	15.977	16.846
94	0.3884	13.5139	0.0748	10.607	11.286	11.694	11.913	12.256	12.491	12.843	13.514	14.206	14.587	14.848	15.24	15.498	15.992	16.862
95	0.3868	13.5258	0.07481	10.617	11.296	11.704	11.924	12.267	12.502	12.854	13.526	14.219	14.6	14.861	15.254	15.512	16.007	16.878
96	0.3852	13.5375	0.07483	10.626	11.305	11.714	11.934	12.277	12.512	12.865	13.538	14.231	14.613	14.874	15.267	15.526	16.022	16.894
97	0.3836	13.5492	0.07485	10.635	11.315	11.724	11.944	12.288	12.523	12.876	13.549	14.244	14.626	14.888	15.281	15.54	16.037	16.911
98	0.3821	13.5607	0.07486	10.644	11.324	11.734	11.954	12.298	12.534	12.887	13.561	14.256	14.638	14.901	15.295	15.554	16.051	16.926
99	0.3805	13.5722	0.07488	10.653	11.334	11.743	11.964	12.308	12.544	12.897	13.572	14.268	14.651	14.914	15.308	15.568	16.066	16.942
100	0.379	13.5836	0.0749	10.661	11.343	11.753	11.973	12.318	12.554	12.908	13.584	14.281	14.664	14.927	15.322	15.582	16.08	16.958
101	0.3774	13.5949	0.07491	10.67	11.352	11.763	11.983	12.328	12.565	12.919	13.595	14.293	14.676	14.939	15.335	15.595	16.094	16.973
102	0.3759	13.6061	0.07493	10.679	11.362	11.772	11.993	12.338	12.575	12.929	13.606	14.305	14.689	14.952	15.348	15.609	16.109	16.989
103	0.3744	13.6172	0.07494	10.688	11.371	11.782	12.003	12.348	12.585	12.94	13.617	14.316	14.701	14.965	15.361	15.622	16.123	17.004
104	0.3729	13.6283	0.07496	10.696	11.38	11.791	12.012	12.358	12.595	12.95	13.628	14.328	14.713	14.977	15.374	15.636	16.137	17.019
105	0.3714	13.6392	0.07498	10.704	11.389	11.8	12.022	12.368	12.605	12.96	13.639	14.34	14.725	14.99	15.387	15.649	16.151	17.034
106	0.3699	13.6501	0.07499	10.713	11.398	11.809	12.031	12.378	12.615	12.971	13.65	14.352	14.737	15.002	15.4	15.662	16.164	17.049
107	0.3684	13.6609	0.07501	10.721	11.406	11.818	12.04	12.387	12.625	12.981	13.661	14.363	14.749	15.014	15.413	15.675	16.178	17.064
