Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
91	-0.1733	13.0245	0.08262	10.145	10.781	11.173	11.387	11.727	11.963	12.322	13.025	13.775	14.198	14.493	14.945	15.247	15.836	16.911
92	-0.1733	13.0371	0.08264	10.154	10.791	11.183	11.398	11.738	11.974	12.334	13.037	13.788	14.212	14.508	14.96	15.262	15.852	16.929
93	-0.1733	13.0496	0.08265	10.164	10.801	11.194	11.409	11.749	11.986	12.345	13.05	13.801	14.226	14.522	14.974	15.277	15.868	16.945
94	-0.1733	13.062	0.08266	10.173	10.811	11.204	11.419	11.76	11.997	12.357	13.062	13.815	14.24	14.536	14.989	15.292	15.883	16.962
95	-0.1733	13.0744	0.08267	10.183	10.821	11.215	11.43	11.771	12.008	12.369	13.074	13.828	14.253	14.55	15.003	15.306	15.899	16.979
96	-0.1733	13.0866	0.08269	10.191	10.83	11.225	11.44	11.782	12.019	12.38	13.087	13.841	14.267	14.564	15.018	15.321	15.915	16.996
97	-0.1733	13.0987	0.0827	10.201	10.84	11.235	11.451	11.793	12.03	12.391	13.099	13.854	14.28	14.578	15.032	15.336	15.93	17.012
98	-0.1733	13.1107	0.08271	10.21	10.85	11.245	11.461	11.803	12.041	12.403	13.111	13.867	14.293	14.591	15.046	15.35	15.945	17.028
99	-0.1733	13.1226	0.08273	10.218	10.859	11.255	11.471	11.814	12.052	12.414	13.123	13.879	14.307	14.605	15.06	15.365	15.96	17.044
100	-0.1733	13.1345	0.08274	10.227	10.869	11.265	11.481	11.824	12.063	12.425	13.135	13.892	14.32	14.618	15.074	15.379	15.975	17.061
101	-0.1733	13.1462	0.08275	10.236	10.878	11.275	11.491	11.835	12.073	12.436	13.146	13.905	14.333	14.631	15.088	15.393	15.989	17.076
102	-0.1733	13.1578	0.08276	10.245	10.888	11.284	11.501	11.845	12.084	12.447	13.158	13.917	14.345	14.644	15.101	15.407	16.004	17.092
103	-0.1733	13.1693	0.08277	10.253	10.897	11.294	11.511	11.855	12.094	12.458	13.169	13.929	14.358	14.657	15.115	15.421	16.018	17.107
104	-0.1733	13.1806	0.08279	10.262	10.906	11.303	11.521	11.865	12.104	12.468	13.181	13.941	14.371	14.67	15.128	15.434	16.033	17.123
105	-0.1733	13.1919	0.0828	10.27	10.915	11.313	11.53	11.875	12.115	12.479	13.192	13.953	14.383	14.683	15.141	15.448	16.047	17.138
106	-0.1733	13.2031	0.08281	10.279	10.924	11.322	11.54	11.885	12.125	12.489	13.203	13.965	14.396	14.696	15.154	15.461	16.061	17.153
107	-0.1733	13.2142	0.08282	10.287	10.933	11.332	11.55	11.895	12.135	12.5	13.214	13.977	14.408	14.708	15.167	15.475	16.075	17.168
108	-0.1733	13.2251	0.08283	10.295	10.942	11.341	11.559	11.905	12.145	12.51	13.225	13.989	14.42	14.721	15.18	15.488	16.088	17.183
109	-0.1733	13.236	0.08284	10.303	10.95	11.35	11.568	11.914	12.155	12.52	13.236	14	14.432	14.733	15.193	15.501	16.102	17.198
110	-0.1733	13.2467	0.08286	10.311	10.959	11.359	11.577	11.924	12.164	12.53	13.247	14.012	14.444	14.745	15.206	15.514	16.116	17.213
111	-0.1733	13.2574	0.08287	10.319	10.967	11.368	11.586	11.933	12.174	12.54	13.257	14.023	14.456	14.757	15.218	15.527	16.129	17.227
112	-0.1733	13.2679	0.08288	10.327	10.976	11.376	11.595	11.942	12.183	12.55	13.268	14.035	14.467	14.769	15.231	15.539	16.142	17.242
113	-0.1733	13.2783	0.08289	10.335	10.984	11.385	11.604	11.952	12.193	12.56	13.278	14.046	14.479	14.781	15.243	15.552	16.155	17.256
114	-0.1733	13.2886	0.0829	10.342	10.992	11.394	11.613	11.961	12.202	12.569	13.289	14.057	14.49	14.793	15.255	15.564	16.168	17.27
115	-0.1733	13.2988	0.08291	10.35	11.001	11.402	11.622	11.97	12.211	12.579	13.299	14.068	14.501	14.804	15.267	15.576	16.181	17.283
116	-0.1733	13.3089	0.08292	10.358	11.009	11.411	11.63	11.979	12.221	12.588	13.309	14.078	14.513	14.816	15.279	15.589	16.194	17.297
117	-0.1733	13.3189	0.08293	10.365	11.017	11.419	11.639	11.988	12.23	12.598	13.319	14.089	14.524	14.827	15.29	15.601	16.206	17.311
118	-0.1733	13.3288	0.08294	10.372	11.025	11.427	11.647	11.996	12.239	12.607	13.329	14.1	14.535	14.838	15.302	15.612	16.219	17.324
119	-0.1733	13.3386	0.08296	10.379	11.032	11.435	11.656	12.005	12.247	12.616	13.339	14.11	14.546	14.85	15.314	15.625	16.232	17.338
120	-0.1733	13.3482	0.08297	10.387	11.04	11.443	11.664	12.013	12.256	12.625	13.348	14.12	14.556	14.86	15.325	15.636	16.244	17.351
121	-0.1733	13.3578	0.08298	10.394	11.048	11.451	11.672	12.022	12.265	12.634	13.358	14.131	14.567	14.871	15.336	15.648	16.256	17.364
122	-0.1733	13.3672	0.08299	10.401	11.055	11.459	11.68	12.03	12.273	12.643	13.367	14.141	14.577	14.882	15.347	15.659	16.268	17.377
123	-0.1733	13.3766	0.083	10.408	11.063	11.467	11.688	12.038	12.282	12.652	13.377	14.151	14.588	14.893	15.359	15.67	16.279	17.39
124	-0.1733	13.3858	0.08301	10.415	11.07	11.475	11.696	12.047	12.29	12.66	13.386	14.161	14.598	14.903	15.369	15.681	16.291	17.402
125	-0.1733	13.3949	0.08302	10.421	11.077	11.482	11.704	12.055	12.298	12.669	13.395	14.17	14.608	14.913	15.38	15.692	16.302	17.414
126	-0.1733	13.4039	0.08303	10.428	11.085	11.49	11.711	12.063	12.306	12.677	13.404	14.18	14.618	14.924	15.391	15.703	16.314	17.427
127	-0.1733	13.4129	0.08304	10.435	11.092	11.497	11.719	12.071	12.315	12.686	13.413	14.189	14.628	14.934	15.401	15.714	16.325	17.439
128	-0.1733	13.4217	0.08305	10.441	11.099	11.505	11.727	12.078	12.323	12.694	13.422	14.199	14.638	14.944	15.412	15.725	16.336	17.451
129	-0.1733	13.4304	0.08306	10.448	11.106	11.512	11.734	12.086	12.33	12.702	13.43	14.208	14.647	14.954	15.422	15.735	16.347	17.463
130	-0.1733	13.439	0.08307	10.454	11.113	11.519	11.741	12.094	12.338	12.71	13.439	14.217	14.657	14.963	15.432	15.745	16.358	17.475
131	-0.1733	13.4475	0.08308	10.46	11.119	11.526	11.749	12.101	12.346	12.718	13.448	14.226	14.666	14.973	15.442	15.756	16.369	17.486
132	-0.1733	13.4559	0.08308	10.467	11.126	11.533	11.756	12.109	12.354	12.726	13.456	14.235	14.675	14.983	15.452	15.766	16.379	17.497
133	-0.1733	13.4642	0.08309	10.473	11.133	11.54	11.763	12.116	12.361	12.734	13.464	14.244	14.685	14.992	15.461	15.776	16.39	17.509
134	-0.1733	13.4724	0.0831	10.479	11.139	11.547	11.77	12.123	12.368	12.741	13.472	14.253	14.694	15.001	15.471	15.786	16.4	17.52
