Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	1	49.8842	0.03795	44.2	46.1	48.0	49.9	51.8	53.7	55.6
1	1	54.7244	0.03557	48.9	50.8	52.8	54.7	56.7	58.6	60.6
2	1	58.4249	0.03424	52.4	54.4	56.4	58.4	60.4	62.4	64.4
3	1	61.4292	0.03328	55.3	57.3	59.4	61.4	63.5	65.5	67.6
4	1	63.8860	0.03257	57.6	59.7	61.8	63.9	66.0	68.0	70.1
5	1	65.9026	0.03204	59.6	61.7	63.8	65.9	68.0	70.1	72.2
6	1	67.6236	0.03165	61.2	63.3	65.5	67.6	69.8	71.9	74.0
7	1	69.1645	0.03139	62.7	64.8	67.0	69.2	71.3	73.5	75.7
8	1	70.5994	0.03124	64.0	66.2	68.4	70.6	72.8	75.0	77.2
9	1	71.9687	0.03117	65.2	67.5	69.7	72.0	74.2	76.5	78.7
10	1	73.2812	0.03118	66.4	68.7	71.0	73.3	75.6	77.9	80.1
11	1	74.5388	0.03125	67.6	69.9	72.2	74.5	76.9	79.2	81.5
12	1	75.7488	0.03137	68.6	71.0	73.4	75.7	78.1	80.5	82.9
13	1	76.9186	0.03154	69.6	72.1	74.5	76.9	79.3	81.8	84.2
14	1	78.0497	0.03174	70.6	73.1	75.6	78.0	80.5	83.0	85.5
15	1	79.1458	0.03197	71.6	74.1	76.6	79.1	81.7	84.2	86.7
16	1	80.2113	0.03222	72.5	75.0	77.6	80.2	82.8	85.4	88.0
17	1	81.2487	0.03250	73.3	76.0	78.6	81.2	83.9	86.5	89.2
18	1	82.2587	0.03279	74.2	76.9	79.6	82.3	85.0	87.7	90.4
19	1	83.2418	0.03310	75.0	77.7	80.5	83.2	86.0	88.8	91.5
20	1	84.1996	0.03342	75.8	78.6	81.4	84.2	87.0	89.8	92.6
21	1	85.1348	0.03376	76.5	79.4	82.3	85.1	88.0	90.9	93.8
22	1	86.0477	0.03410	77.2	80.2	83.1	86.0	89.0	91.9	94.9
23	1	86.9410	0.03445	78.0	81.0	83.9	86.9	89.9	92.9	95.9
24	1	87.8161	0.03479	78.7	81.7	84.8	87.8	90.9	93.9	97.0
25	1	 87.9720	0.03542	78.6	81.7	84.9	88.0	91.1	94.2	97.3
26	1	 88.8065	0.03576	79.3	82.5	85.6	88.8	92.0	95.2	98.3
27	1	 89.6197	0.03610	79.9	83.1	86.4	89.6	92.9	96.1	99.3
28	1	 90.4120	0.03642	80.5	83.8	87.1	90.4	93.7	97.0	100.3
29	1	 91.1828	0.03674	81.1	84.5	87.8	91.2	94.5	97.9	101.2
30	1	 91.9327	0.03704	81.7	85.1	88.5	91.9	95.3	98.7	102.1
31	1	 92.6631	0.03733	82.3	85.7	89.2	92.7	96.1	99.6	103.0
32	1	 93.3753	0.03761	82.8	86.4	89.9	93.4	96.9	100.4	103.9
33	1	 94.0711	0.03787	83.4	86.9	90.5	94.1	97.6	101.2	104.8
34	1	 94.7532	0.03812	83.9	87.5	91.1	94.8	98.4	102.0	105.6
35	1	 95.4236	0.03836	84.4	88.1	91.8	95.4	99.1	102.7	106.4
36	1	 96.0835	0.03858	85.0	88.7	92.4	96.1	99.8	103.5	107.2
37	1	 96.7337	0.03879	85.5	89.2	93.0	96.7	100.5	104.2	108.0
38	1	 97.3749	0.03900	86.0	89.8	93.6	97.4	101.2	105.0	108.8
39	1	 98.0073	0.03919	86.5	90.3	94.2	98.0	101.8	105.7	109.5
40	1	 98.6310	0.03937	87.0	90.9	94.7	98.6	102.5	106.4	110.3
41	1	 99.2459	0.03954	87.5	91.4	95.3	99.2	103.2	107.1	111.0
42	1	 99.8515	0.03971	88.0	91.9	95.9	99.9	103.8	107.8	111.7
43	1	100.4485	0.03986	88.4	92.4	96.4	100.4	104.5	108.5	112.5
44	1	101.0374	0.04002	88.9	93.0	97.0	101.0	105.1	109.1	113.2
45	1	101.6186	0.04016	89.4	93.5	97.5	101.6	105.7	109.8	113.9
46	1	102.1933	0.04031	89.8	94.0	98.1	102.2	106.3	110.4	114.6
47	1	102.7625	0.04045	90.3	94.4	98.6	102.8	106.9	111.1	115.2
48	1	103.3273	0.04059	90.7	94.9	99.1	103.3	107.5	111.7	115.9
49	1	103.8886	0.04073	91.2	95.4	99.7	103.9	108.1	112.4	116.6
50	1	104.4473	0.04086	91.6	95.9	100.2	104.4	108.7	113.0	117.3
51	1	105.0041	0.04100	92.1	96.4	100.7	105.0	109.3	113.6	117.9
52	1	105.5596	0.04113	92.5	96.9	101.2	105.6	109.9	114.2	118.6
53	1	106.1138	0.04126	93.0	97.4	101.7	106.1	110.5	114.9	119.2
54	1	106.6668	0.04139	93.4	97.8	102.3	106.7	111.1	115.5	119.9
55	1	107.2188	0.04152	93.9	98.3	102.8	107.2	111.7	116.1	120.6
56	1	107.7697	0.04165	94.3	98.8	103.3	107.8	112.3	116.7	121.2
57	1	108.3198	0.04177	94.7	99.3	103.8	108.3	112.8	117.4	121.9
58	1	108.8689	0.0419	95.2	99.7	104.3	108.9	113.4	118.0	122.6
59	1	109.4170	0.04202	95.6	100.2	104.8	109.4	114.0	118.6	123.2
60	1	109.9638	0.04214	96.1	100.7	105.3	110.0	114.6	119.2	123.9
